symbol,start_date,end_date,nb_days
AAL,2023-07-17,2024-12-16,359
AMRX,2023-07-17,2024-12-16,359
AVDX,2023-07-17,2024-12-16,359
CSX,2024-07-22,2024-11-01,74
CXW,2024-07-22,2024-11-21,88
GBDC,2023-07-17,2024-12-16,359
GCMG,2023-07-17,2024-12-16,359
GEO,2024-07-22,2024-11-21,88
GOOGL,2024-07-22,2024-10-21,65
GT,2023-07-17,2024-12-16,359
INTC,2024-07-22,2024-11-01,74
KHC,2024-07-22,2024-10-21,65
LBTYB,2023-07-17,2024-12-16,359
LCID,2024-07-22,2024-10-21,65
MLCO,2023-07-17,2024-12-16,359
PSNY,2023-07-17,2024-12-16,359
VLY,2023-07-17,2024-12-16,359
WBD,2024-07-22,2024-11-01,74
